id,timestamp,price,volume,side,rpi
1,1747442146179,6.016,0.76,sell,0
2,1747442146179,6,0.65,sell,0
3,1747442146179,6,3.64,sell,0
4,1747442189079,5.984,3.04,sell,0
5,1747442189079,6,0.51,sell,0
6,1747442299954,5.984,0.35,sell,0
7,1747443632779,5.994,8.48,buy,0
8,1747443633503,5.994,8.48,buy,0
9,1747443634363,5.994,8.48,buy,0
10,1747443635989,5.994,9.69,buy,0
11,1747443636136,5.995,6.04,buy,0
12,1747443636136,5.994,3.22,buy,0
13,1747443636136,6,0.43,buy,0
14,1747443636406,5.993,3.39,buy,0
15,1747443636728,5.993,9.69,buy,0
16,1747443637884,5.991,6.78,buy,0
17,1747443639574,5.99,4.24,buy,0
18,1747443640153,5.99,8.48,buy,0
19,1747443640237,5.99,5.77,buy,0
20,1747443640237,5.992,2.71,buy,0
21,1747443641520,5.989,8.48,buy,0
22,1747443642153,5.952,4.24,sell,0
23,1747443643844,5.951,1.69,sell,0
24,1747443644872,5.952,4.83,sell,0
25,1747443644878,5.952,0.01,sell,0
26,1747443644878,5.943,4.01,sell,0
27,1747443644878,5.949,4.24,sell,0
28,1747443645603,5.987,8.62,buy,0
29,1747443645665,5.986,10.18,buy,0
30,1747443648076,5.985,7.02,buy,0
31,1747443648076,5.988,1.46,buy,0
32,1747443652912,5.943,23.1,sell,0
33,1747443667160,5.945,0.96,sell,0
34,1747443667232,5.945,0.95,sell,0
35,1747443667260,5.943,104.62,sell,0
36,1747443667260,5.945,2.4,sell,0
37,1747443667374,5.943,0.94,sell,0
38,1747443667395,5.943,0.93,sell,0
39,1747443667422,5.943,0.92,sell,0
40,1747443667442,5.943,0.91,sell,0
41,1747443668941,5.943,0.9,sell,0
42,1747443668962,5.943,0.89,sell,0
43,1747443668967,5.943,5.05,sell,0
44,1747443668986,5.943,5.05,sell,0
45,1747443668989,5.943,0.88,sell,0
46,1747443669004,5.943,5.05,sell,0
47,1747443669010,5.943,0.87,sell,0
48,1747443669026,5.943,5.05,sell,0
49,1747443669031,5.943,0.86,sell,0
50,1747444034263,5.943,0.01,sell,0
51,1747444034263,5.943,4.15,sell,0
52,1747444420783,5.943,0.09,sell,0
53,1747444420783,5.93,1.67,sell,0
54,1747444793118,5.93,0.03,sell,0
55,1747444814556,5.91,5.08,sell,0
56,1747444815884,5.91,11.36,sell,0
57,1747444862760,5.911,17.11,buy,0
58,1747446091698,5.885,4.54,sell,0
59,1747446091698,5.91,0.48,sell,0
60,1747446091698,5.885,8.58,sell,0
61,1747446350379,5.884,2.05,sell,0
62,1747446350379,5.885,0.36,sell,0
63,1747446350379,5.882,7.59,sell,0
64,1747446350859,5.882,0.99,sell,0
65,1747446350859,5.878,7.84,sell,0
66,1747446420885,5.878,0.88,sell,0
67,1747448487326,5.852,24.45,sell,0
68,1747449140080,5.915,8.31,sell,0
69,1747450378891,5.915,4.89,sell,0
70,1747451441767,5.915,0.4,sell,0
71,1747451511546,5.884,5.68,buy,0
72,1747451553540,5.885,7.39,buy,0
73,1747451559660,5.885,8.27,buy,0
74,1747458692302,5.98,1.62,sell,0
75,1747472858481,5.846,2.36,sell,0
76,1747472865939,5.834,6.81,sell,0
77,1747472865939,5.846,0.05,sell,0
78,1747477448835,5.924,1.87,buy,0
79,1747485403760,5.841,2.08,sell,0
80,1747486313624,5.841,32.46,sell,0
81,1747486495889,5.834,0.15,sell,0
82,1747486523091,5.815,16.96,buy,0
83,1747487117825,5.805,1.02,sell,0
84,1747487118230,5.805,1.02,sell,0
85,1747487287606,5.805,2.3,sell,0
86,1747488740566,5.805,0.02,sell,0
87,1747488740566,5.788,10.22,sell,0
88,1747488978755,5.777,17.48,sell,0
89,1747488978755,5.777,2.51,sell,0
90,1747488978755,5.775,14.1,sell,0
91,1747488994223,5.775,1.01,sell,0
92,1747489056384,5.775,2.36,sell,0
93,1747489269660,5.785,8.65,buy,0
94,1747489666583,5.775,0.02,sell,0
95,1747489666583,5.771,17.7,sell,0
96,1747489666607,5.739,11.94,sell,0
97,1747489666607,5.767,4.53,sell,0
98,1747489666607,5.771,0.08,sell,0
99,1747489666613,5.734,3.37,sell,0
100,1747490697230,5.79,8.63,buy,0
101,1747490747068,5.79,2.54,buy,0
102,1747490753417,5.79,5.15,buy,0
103,1747492243125,5.846,83.86,buy,0
104,1747492243125,5.846,15.66,buy,0
105,1747492243270,5.846,1,sell,0
106,1747492243301,5.846,0.99,sell,0
107,1747492243303,5.846,5.13,sell,0
108,1747492243321,5.846,0.98,sell,0
109,1747492243324,5.846,5.13,sell,0
110,1747492243342,5.846,0.97,sell,0
111,1747492243359,5.846,5.13,sell,0
112,1747492243366,5.846,0.96,sell,0
113,1747492243394,5.846,0.95,sell,0
114,1747492243407,5.846,5.13,sell,0
115,1747492243487,5.846,5.13,sell,0
116,1747492244561,5.836,0.31,sell,0
117,1747492244561,5.846,0.63,sell,0
118,1747492263808,5.885,39.24,buy,0
119,1747492263819,5.885,4.99,sell,0
120,1747492263820,5.885,9.7,sell,0
121,1747492263821,5.885,50.53,sell,0
122,1747492282786,5.871,39.24,buy,0
123,1747492282798,5.871,6.7,sell,0
124,1747492282799,5.871,37.23,sell,0
125,1747496768833,5.878,4.33,buy,0
126,1747497995867,5.843,17.07,sell,0
127,1747497995868,5.842,80.54,sell,0
128,1747497995868,5.843,34.31,sell,0
129,1747497995887,5.842,3.99,sell,0
130,1747499042401,5.819,51.8,buy,0
131,1747499042419,5.819,14.39,sell,0
132,1747499042435,5.819,0.01,sell,0
133,1747499061794,5.812,51.8,buy,0
134,1747499061816,5.812,0.94,sell,0
135,1747499083107,5.818,42.02,buy,0
136,1747499101849,5.818,8.59,buy,0
137,1747499101858,5.818,7.21,sell,0
138,1747499101858,5.818,17.63,sell,0
139,1747499533155,5.77,10.39,sell,0
140,1747499669639,5.791,8,buy,0
141,1747499798359,5.77,0.11,sell,0
142,1747499855851,5.75,4.97,sell,0
143,1747499855882,5.75,4.97,sell,0
144,1747499855913,5.75,4.96,sell,0
145,1747499855931,5.75,4.95,sell,0
146,1747499925575,5.729,3.45,sell,0
147,1747499925575,5.75,0.15,sell,0
148,1747499934060,5.726,12.72,buy,0
149,1747501151020,5.751,18.79,buy,0
150,1747502950620,5.781,52.16,buy,0
